epoch_count,duration_days,temporal_spacing_mean_days,temporal_spacing_std_days,incidence_angle_mean_deg,incidence_angle_std_deg,coherence_mean,coherence_std,minimum_coherence,phase_quality_mean,phase_quality_std,noise_estimate_mean_mm,mean_displacement_mm,displacement_std_mm,displacement_range_mm,displacement_to_noise_ratio,mean_absolute_step_mm,max_absolute_step_mm,max_step_to_range_ratio,sign_change_count,zero_crossing_count,directional_consistency,slope_mm_per_year,linear_fit_residual_std_mm,acceleration_mm_per_year2,quadratic_fit_residual_std_mm,temporal_autocorrelation_lag1,approximate_periodicity_indicator,sample_id,target_label,is_edge_case,edge_case_type
15.0,261.14,18.65,0.31,40.31,0.0,0.8205,0.0785,0.688,0.8392,0.0857,0.588,0.0297,0.559,1.999,3.4,0.5129,1.2297,0.6152,8.0,5.0,0.5,1.5986,0.4343,-2.6665,0.4304,0.338,0.4092,STRATA_SYN_STABLE_00182,STABLE,False,none
18.0,147.51,8.68,0.27,33.7,0.0,0.817,0.0927,0.668,0.817,0.0637,2.958,4.4761,3.6116,14.7449,4.985,5.4662,10.5846,0.7178,16.0,5.0,0.5294,0.3091,3.6114,-179.6877,3.4021,-0.5313,0.4352,STRATA_SYN_TEMPORALLY_INCONSISTENT_00428,TEMPORALLY_INCONSISTENT,False,none
19.0,215.42,11.97,0.29,27.76,0.0,0.7752,0.0817,0.6627,0.8027,0.0758,1.619,-1.4625,1.3082,4.776,2.95,1.2694,3.1209,0.6535,11.0,3.0,0.5,-5.1561,0.9285,1.78,0.9281,0.2829,0.1661,STRATA_SYN_STRUCTURAL_ACCELERATING_00245,STRUCTURAL_ACCELERATING,False,none
17.0,141.54,8.85,0.29,31.98,0.0,0.8151,0.0862,0.6648,0.8199,0.0662,2.08,-2.7552,5.5608,20.5164,9.864,6.4554,11.7729,0.5738,15.0,6.0,0.5,-29.6542,4.3097,129.3604,4.2327,0.1534,0.7129,STRATA_SYN_TEMPORALLY_INCONSISTENT_00116,TEMPORALLY_INCONSISTENT,False,none
22.0,309.59,14.74,0.31,26.94,0.0,0.7947,0.0791,0.6627,0.8131,0.0592,0.909,-0.1667,3.3578,10.0219,11.025,1.2551,3.0041,0.2998,12.0,2.0,0.5714,9.3845,2.3427,-62.7771,1.454,0.8618,0.1513,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00431,SEASONAL_ENVIRONMENTAL,False,none
18.0,222.21,13.07,0.22,38.01,0.0,0.7762,0.07,0.6699,0.8147,0.0733,2.977,2.2858,3.675,13.692,4.599,4.7175,11.4908,0.8392,13.0,7.0,0.5294,0.2747,3.6747,-97.5091,3.3551,-0.2001,0.9311,STRATA_SYN_TEMPORALLY_INCONSISTENT_00335,TEMPORALLY_INCONSISTENT,False,none
9.0,154.94,19.37,0.26,35.94,0.0,0.8196,0.0851,0.6731,0.8244,0.0449,1.062,-0.2987,0.6591,2.237,2.106,0.806,1.9695,0.8804,4.0,4.0,0.625,0.558,0.6546,40.5203,0.5632,-0.114,0.8524,STRATA_SYN_STABLE_00414,STABLE,False,none
16.0,129.25,8.62,0.26,40.68,0.0,0.7811,0.0728,0.659,0.8415,0.0716,2.257,4.3964,2.4506,8.0059,3.547,3.8832,7.7973,0.9739,14.0,0.0,0.5333,3.6387,2.4187,2.9921,2.4186,-0.6739,0.0,STRATA_SYN_TEMPORALLY_INCONSISTENT_00063,TEMPORALLY_INCONSISTENT,False,none
6.0,71.98,14.4,0.32,32.3,0.0,0.1527,0.0426,0.1169,0.1803,0.0413,2.699,0.5803,1.4407,4.5036,1.669,1.7716,2.8132,0.6247,3.0,2.0,0.6,-5.5531,1.3915,-633.2784,0.6533,0.0266,0.7532,STRATA_SYN_LOW_QUALITY_00245,LOW_QUALITY,False,none
13.0,106.04,8.84,0.3,32.76,0.0,0.7976,0.0873,0.6502,0.8378,0.0792,2.06,1.665,3.6287,11.1021,5.389,5.2147,9.2058,0.8292,11.0,7.0,0.5,-23.0302,2.9753,-138.818,2.9325,-0.3273,0.3054,STRATA_SYN_TEMPORALLY_INCONSISTENT_00195,TEMPORALLY_INCONSISTENT,False,none
19.0,312.24,17.35,0.3,40.22,0.0,0.79,0.0799,0.6533,0.841,0.066,2.461,-1.2651,5.4102,20.117,8.174,3.6268,8.5176,0.4234,10.0,2.0,0.5556,-0.7769,5.4064,-120.0643,4.0195,0.6876,0.2631,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00155,SEASONAL_ENVIRONMENTAL,False,none
12.0,191.38,17.4,0.25,30.64,0.0,0.8013,0.0919,0.6725,0.8157,0.0758,2.676,-0.3038,2.8503,9.7215,3.633,2.3603,5.2788,0.543,4.0,3.0,0.5455,-0.9923,2.8456,35.6576,2.8134,0.4248,0.2572,STRATA_SYN_STABLE_00339,STABLE,False,none
17.0,303.82,18.99,0.25,28.5,0.0,0.7707,0.068,0.6783,0.8244,0.0678,0.731,4.4986,2.8588,8.5849,11.744,5.031,6.9278,0.807,15.0,1.0,0.5,2.9083,2.7608,-10.0064,2.7457,-0.6354,0.0,STRATA_SYN_TEMPORALLY_INCONSISTENT_00146,TEMPORALLY_INCONSISTENT,False,none
11.0,127.46,12.75,0.31,34.1,0.0,0.8281,0.0981,0.6889,0.8407,0.0805,2.838,-0.1732,3.2775,11.8295,4.168,3.3886,6.8126,0.5759,6.0,3.0,0.5,-13.6254,2.9115,101.6358,2.8594,0.3218,0.7644,STRATA_SYN_STRUCTURAL_ACCELERATING_00474,STRUCTURAL_ACCELERATING,False,none
20.0,302.69,15.93,0.3,30.6,0.0,0.1897,0.0393,0.1043,0.179,0.0443,3.314,-1.2133,2.6853,11.6231,3.507,3.2519,6.8418,0.5886,10.0,9.0,0.5263,0.4844,2.6825,-26.3888,2.5773,0.0639,0.6536,STRATA_SYN_LOW_QUALITY_00396,LOW_QUALITY,False,none
12.0,72.89,6.63,0.26,28.96,0.0,0.7917,0.0683,0.6814,0.8237,0.0985,1.958,-0.8047,1.7418,5.8811,3.004,2.2922,5.8811,1.0,8.0,5.0,0.5455,-12.5513,1.5518,-104.6411,1.5413,-0.2326,0.2867,STRATA_SYN_STRUCTURAL_MONOTONIC_00279,STRUCTURAL_MONOTONIC,False,none
10.0,159.41,17.71,0.34,43.02,0.0,0.1769,0.0346,0.1278,0.1654,0.0408,3.366,1.5552,2.2113,7.5919,2.255,3.3514,6.2635,0.825,7.0,5.0,0.5556,-1.4834,2.2016,-48.4488,2.1623,-0.2832,0.9035,STRATA_SYN_LOW_QUALITY_00188,LOW_QUALITY,False,none
6.0,85.57,17.11,0.27,32.55,0.0,0.8167,0.0861,0.7011,0.7926,0.0714,1.221,3.65,3.1331,8.8927,7.283,4.8251,6.4422,0.7244,4.0,1.0,0.6,21.8129,2.5992,250.1907,2.5075,-0.4661,0.0,STRATA_SYN_TEMPORALLY_INCONSISTENT_00358,TEMPORALLY_INCONSISTENT,False,none
15.0,232.43,16.6,0.22,28.21,0.0,0.7859,0.07,0.6704,0.8541,0.082,1.979,1.3916,2.4964,7.9228,4.003,2.0355,5.33,0.6727,10.0,3.0,0.5714,9.5864,1.6444,-40.4364,1.4915,0.4444,0.1639,STRATA_SYN_STRUCTURAL_MONOTONIC_00431,STRUCTURAL_MONOTONIC,False,none
11.0,179.97,18.0,0.31,40.34,0.0,0.7835,0.0638,0.685,0.8483,0.072,2.801,0.8756,2.8477,9.3168,3.326,3.9463,6.9535,0.7463,6.0,6.0,0.5,0.2754,2.8474,-108.1288,2.6,-0.23,0.9042,STRATA_SYN_STRUCTURAL_ACCELERATING_00033,STRUCTURAL_ACCELERATING,False,none
21.0,145.22,7.26,0.31,37.39,0.0,0.809,0.0975,0.6564,0.8281,0.0704,1.933,-1.75,6.6029,22.33,11.552,2.4948,6.9454,0.311,12.0,1.0,0.55,-42.6922,4.1047,524.4424,2.3014,0.8187,0.0,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00435,SEASONAL_ENVIRONMENTAL,False,none
13.0,188.17,15.68,0.29,42.76,0.0,0.7728,0.093,0.6577,0.7838,0.0695,0.649,-0.3306,0.6882,2.6731,4.119,0.7336,1.6541,0.6188,7.0,3.0,0.5,-1.8542,0.6206,3.6639,0.6192,0.1695,0.2596,STRATA_SYN_STRUCTURAL_ACCELERATING_00048,STRUCTURAL_ACCELERATING,False,none
15.0,248.11,17.72,0.33,28.28,0.0,0.8192,0.0837,0.6713,0.8336,0.0723,1.494,1.491,2.1694,6.5526,4.386,1.6101,4.1662,0.6358,9.0,3.0,0.5714,8.9263,1.1047,6.0715,1.0984,0.4522,0.0321,STRATA_SYN_STRUCTURAL_ACCELERATING_00468,STRUCTURAL_ACCELERATING,False,none
6.0,37.71,7.54,0.27,43.95,0.0,0.7826,0.1007,0.6536,0.831,0.0615,2.808,-0.0912,3.9356,12.0132,4.278,5.0886,12.0132,1.0,4.0,3.0,0.6,44.9957,3.602,-2142.9483,3.4171,-0.2824,0.7122,STRATA_SYN_ATMOSPHERIC_TRANSIENT_00195,ATMOSPHERIC_TRANSIENT,False,none
16.0,340.81,22.72,0.32,42.53,0.0,0.1679,0.0384,0.106,0.1848,0.0372,4.164,-0.1646,3.0209,8.9245,2.143,2.6099,7.9586,0.8918,9.0,5.0,0.5333,4.9398,2.6688,9.4475,2.6464,0.3572,0.1217,STRATA_SYN_LOW_QUALITY_00120,LOW_QUALITY,False,none
15.0,139.25,9.95,0.31,42.35,0.0,0.8003,0.0748,0.6911,0.8036,0.0749,2.112,2.5068,2.018,7.0607,3.343,2.6845,5.856,0.8294,10.0,4.0,0.5714,7.8244,1.7951,-30.9815,1.785,-0.0719,0.6278,STRATA_SYN_STRUCTURAL_MONOTONIC_00450,STRUCTURAL_MONOTONIC,False,none
12.0,118.03,10.73,0.24,43.85,0.0,0.8134,0.0719,0.68,0.8268,0.0479,1.427,-0.1336,1.1979,4.0972,2.871,1.2913,2.5478,0.6218,6.0,5.0,0.5455,-0.0013,1.1979,-25.2405,1.1924,0.1871,0.3563,STRATA_SYN_STABLE_00477,STABLE,False,none
8.0,67.04,9.58,0.2,43.3,0.0,0.8116,0.0722,0.7121,0.8676,0.082,0.538,3.8133,1.3846,3.7356,6.943,0.7282,1.3247,0.3546,2.0,0.0,0.5714,21.1793,0.5408,-178.5322,0.4621,0.6257,0.0,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00467,SEASONAL_ENVIRONMENTAL,True,short_seasonal_sequence
7.0,38.42,6.4,0.22,26.45,0.0,0.7803,0.0667,0.6728,0.8582,0.0693,2.75,0.6446,3.8555,12.2613,4.459,5.0521,7.3014,0.5955,2.0,3.0,0.6667,23.0895,3.7704,-3934.2148,3.1348,0.0358,0.5278,STRATA_SYN_STRUCTURAL_ACCELERATING_00031,STRUCTURAL_ACCELERATING,False,none
20.0,305.43,16.08,0.26,40.84,0.0,0.8207,0.0857,0.6728,0.8274,0.0729,1.808,1.0362,4.5327,14.9311,8.258,5.3453,11.0801,0.7421,16.0,8.0,0.5263,-7.9593,4.0576,-20.6987,4.0141,0.1082,0.7377,STRATA_SYN_TEMPORALLY_INCONSISTENT_00479,TEMPORALLY_INCONSISTENT,False,none
18.0,225.11,13.24,0.26,27.28,0.0,0.7897,0.0926,0.6612,0.8327,0.0651,0.991,-0.2781,0.9168,3.0398,3.067,1.0918,3.0398,1.0,9.0,7.0,0.5294,-0.8363,0.9031,3.7968,0.9011,-0.2496,0.4962,STRATA_SYN_STABLE_00293,STABLE,False,none
10.0,162.81,18.09,0.3,43.04,0.0,0.8329,0.0958,0.6557,0.8172,0.0569,1.9,-0.1327,1.36,4.0701,2.142,2.0621,3.9918,0.9808,5.0,6.0,0.6667,1.6653,1.3392,-10.2986,1.336,-0.4828,0.8168,STRATA_SYN_STRUCTURAL_ACCELERATING_00050,STRUCTURAL_ACCELERATING,False,none
8.0,147.07,21.01,0.35,42.99,0.0,0.8214,0.096,0.6527,0.8055,0.0873,0.939,-1.3816,1.6997,5.0489,5.377,1.0904,2.1201,0.4199,3.0,1.0,0.7143,-10.2623,1.0302,123.2546,0.4353,0.4928,0.0,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00266,SEASONAL_ENVIRONMENTAL,True,short_seasonal_sequence
13.0,121.09,10.09,0.29,28.85,0.0,0.8262,0.0756,0.7059,0.7903,0.0802,2.287,-0.6694,1.8464,6.1779,2.701,1.9427,3.9171,0.6341,6.0,6.0,0.5,6.4888,1.7182,-162.4518,1.5361,0.2595,0.6691,STRATA_SYN_STABLE_00445,STABLE,False,none
14.0,213.05,16.39,0.28,28.48,0.0,0.78,0.0742,0.6764,0.8436,0.0583,1.56,1.6345,1.7415,6.0858,3.901,1.9296,4.6574,0.7653,8.0,5.0,0.6923,5.6485,1.411,-20.5799,1.3791,0.1872,0.4069,STRATA_SYN_STRUCTURAL_ACCELERATING_00292,STRUCTURAL_ACCELERATING,False,none
7.0,59.92,9.99,0.21,35.83,0.0,0.1722,0.0508,0.1008,0.1657,0.0391,2.82,-0.992,1.6556,5.3233,1.888,1.8124,4.971,0.9338,4.0,3.0,0.6667,5.3419,1.6297,678.0409,1.3731,-0.1703,0.3082,STRATA_SYN_LOW_QUALITY_00214,LOW_QUALITY,False,none
14.0,272.97,21.0,0.23,30.02,0.0,0.8023,0.0723,0.6725,0.8337,0.0751,1.481,3.5281,3.6309,11.713,7.909,6.3101,8.753,0.7473,12.0,6.0,0.5385,6.8067,3.2692,15.0965,3.2493,-0.6076,0.2901,STRATA_SYN_TEMPORALLY_INCONSISTENT_00278,TEMPORALLY_INCONSISTENT,False,none
8.0,68.96,9.85,0.22,43.57,0.0,0.8264,0.0619,0.7376,0.7854,0.0735,1.774,0.1164,4.2891,14.6971,8.285,4.7366,10.7691,0.7327,3.0,4.0,0.5714,11.3686,4.2311,-1379.8722,3.5523,0.0915,0.9292,STRATA_SYN_ATMOSPHERIC_TRANSIENT_00458,ATMOSPHERIC_TRANSIENT,False,none
19.0,203.89,11.33,0.26,40.27,0.0,0.175,0.0349,0.105,0.1916,0.047,2.726,0.1259,2.9958,12.8863,4.727,4.0516,12.2552,0.951,14.0,13.0,0.6111,-2.8982,2.9551,9.388,2.9526,-0.4326,0.4348,STRATA_SYN_LOW_QUALITY_00091,LOW_QUALITY,False,none
20.0,131.01,6.9,0.34,34.06,0.0,0.1701,0.0413,0.1027,0.18,0.0437,4.447,-1.2094,5.0918,18.3574,4.128,6.4667,13.7018,0.7464,14.0,11.0,0.5263,1.3082,5.0898,-262.7195,4.8981,-0.0274,0.7803,STRATA_SYN_LOW_QUALITY_00316,LOW_QUALITY,False,none
14.0,190.84,14.68,0.25,39.73,0.0,0.79,0.0813,0.6569,0.7819,0.0615,2.724,-0.5181,3.3307,11.1929,4.109,3.3369,10.6583,0.9522,7.0,4.0,0.5385,4.7255,3.241,-7.2073,3.2399,0.0647,0.7818,STRATA_SYN_STABLE_00078,STABLE,False,none
11.0,177.88,17.79,0.23,26.33,0.0,0.1658,0.0384,0.1061,0.1777,0.0392,2.606,-0.7172,2.1684,7.416,2.846,3.2702,7.416,1.0,8.0,6.0,0.5,-1.8215,2.1502,-28.3261,2.1297,-0.5562,0.7606,STRATA_SYN_LOW_QUALITY_00228,LOW_QUALITY,False,none
6.0,45.01,9.0,0.24,36.98,0.0,0.7731,0.0913,0.6531,0.8235,0.0779,2.054,-0.3671,2.3936,7.1216,3.467,3.1332,4.4994,0.6318,3.0,4.0,0.6,23.7769,2.1734,2229.6225,1.3701,-0.0911,0.6818,STRATA_SYN_STABLE_00226,STABLE,False,none
6.0,82.02,16.4,0.17,34.38,0.0,0.8415,0.0764,0.6921,0.8579,0.0511,1.049,-0.5088,1.758,5.0185,4.784,2.4875,3.9841,0.7939,3.0,3.0,0.6,11.3587,1.5271,172.4815,1.4642,-0.0794,0.5152,STRATA_SYN_STRUCTURAL_MONOTONIC_00160,STRUCTURAL_MONOTONIC,False,none
7.0,93.6,15.6,0.28,44.55,0.0,0.7717,0.0785,0.6619,0.8167,0.0694,2.967,-0.3465,2.5338,7.6137,2.566,3.1287,6.6175,0.8692,5.0,5.0,0.5,18.5039,1.9822,-62.5645,1.9723,-0.1987,0.1807,STRATA_SYN_STABLE_00048,STABLE,False,none
8.0,122.6,17.51,0.18,41.95,0.0,0.7936,0.1001,0.6851,0.8404,0.0361,0.853,-0.1784,0.6629,1.8905,2.216,0.8734,1.517,0.8024,3.0,4.0,0.5714,-0.8219,0.6568,10.0037,0.6546,-0.0156,0.9748,STRATA_SYN_STRUCTURAL_ACCELERATING_00257,STRUCTURAL_ACCELERATING,False,none
18.0,103.14,6.07,0.3,44.58,0.0,0.7717,0.0671,0.6877,0.7954,0.0728,1.941,0.5154,2.8059,10.0658,5.186,2.0158,6.6448,0.6601,11.0,3.0,0.5294,25.95,1.7012,-110.4942,1.6617,0.5192,0.1939,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00412,SEASONAL_ENVIRONMENTAL,False,none
7.0,53.97,9.0,0.24,40.82,0.0,0.7893,0.0885,0.6607,0.7726,0.0421,0.666,0.3197,0.4373,1.5128,2.271,0.5416,1.5128,1.0,2.0,2.0,0.5,0.2818,0.4371,-127.1113,0.4163,-0.2427,0.7575,STRATA_SYN_STABLE_00227,STABLE,False,none
16.0,178.36,11.89,0.35,32.49,0.0,0.7968,0.0832,0.6653,0.8476,0.0728,2.347,1.1497,3.0142,12.205,5.2,4.2568,11.072,0.9072,11.0,10.0,0.6,-0.9131,3.011,85.8366,2.886,-0.4326,0.7736,STRATA_SYN_TEMPORALLY_INCONSISTENT_00215,TEMPORALLY_INCONSISTENT,False,none
6.0,111.98,22.4,0.2,28.8,0.0,0.1671,0.0437,0.1076,0.181,0.0415,3.832,-0.0717,5.908,18.1237,4.73,7.8205,18.1237,1.0,2.0,3.0,0.6,-0.0428,5.908,59.299,5.9015,-0.4564,0.4966,STRATA_SYN_LOW_QUALITY_00167,LOW_QUALITY,False,none
16.0,341.64,22.78,0.33,39.48,0.0,0.765,0.0784,0.6523,0.816,0.0691,2.677,-1.3615,5.2537,15.9026,5.94,3.2061,8.8705,0.5578,5.0,3.0,0.5333,2.3618,5.2096,-38.5162,5.0127,0.6533,0.3486,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00221,SEASONAL_ENVIRONMENTAL,False,none
18.0,141.07,8.3,0.27,30.71,0.0,0.7968,0.0768,0.6719,0.8508,0.0733,2.29,3.5044,4.0796,12.5365,5.474,6.8363,12.2406,0.9764,14.0,6.0,0.5882,-1.9633,4.073,-50.1886,4.0612,-0.6149,0.838,STRATA_SYN_TEMPORALLY_INCONSISTENT_00031,TEMPORALLY_INCONSISTENT,False,none
20.0,340.53,17.92,0.26,25.68,0.0,0.1563,0.0364,0.1054,0.1797,0.0452,4.04,0.4377,3.3681,13.6606,3.381,3.6688,8.6859,0.6358,15.0,9.0,0.5789,-4.2002,3.1516,5.4924,3.1455,0.1154,0.8086,STRATA_SYN_LOW_QUALITY_00213,LOW_QUALITY,False,none
13.0,242.88,20.24,0.25,32.16,0.0,0.786,0.0873,0.6547,0.8255,0.0701,1.246,0.628,2.1695,5.4237,4.353,0.8709,2.7335,0.504,2.0,2.0,0.4167,7.2452,1.5661,48.8892,1.2586,0.7908,0.3447,STRATA_SYN_SEASONAL_ENVIRONMENTAL_00248,SEASONAL_ENVIRONMENTAL,False,none
6.0,94.92,18.98,0.29,35.32,0.0,0.7845,0.0624,0.7108,0.8054,0.0776,1.795,-0.3448,2.0755,5.8093,3.236,2.1757,5.1811,0.8919,3.0,2.0,0.6,-9.6042,1.8916,-347.8426,1.4869,0.1498,0.6666,STRATA_SYN_STRUCTURAL_ACCELERATING_00482,STRUCTURAL_ACCELERATING,True,short_sequence
